Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Ethiopia,8.75,8.67,8.67,8.42,8.5,10.0,8.75,8.83,10.0,10.0,90.58
Ethiopia,8.58,8.5,8.75,8.42,8.42,10.0,8.58,8.67,10.0,10.0,89.92
Guatemala,8.42,8.42,8.42,8.42,8.33,10.0,9.25,8.5,10.0,10.0,89.75
Ethiopia,8.42,8.42,8.17,8.25,8.5,10.0,8.67,8.58,10.0,10.0,89.0
Ethiopia,8.5,8.25,8.25,8.33,8.42,10.0,8.58,8.5,10.0,10.0,88.83
Brazil,8.5,8.42,8.58,8.33,8.25,10.0,8.33,8.42,10.0,10.0,88.83
Peru,8.5,8.33,8.42,8.25,8.25,10.0,8.5,8.5,10.0,10.0,88.75
Ethiopia,8.42,8.5,8.25,8.5,8.33,10.0,9.0,8.33,9.33,10.0,88.67
Ethiopia,8.42,8.58,8.67,8.42,8.33,10.0,8.67,8.67,9.33,9.33,88.42
Ethiopia,8.5,8.5,8.08,8.42,7.67,10.0,8.5,8.58,10.0,10.0,88.25
Ethiopia,8.5,8.25,8.17,8.17,7.75,10.0,8.58,8.67,10.0,10.0,88.08
United States of America,8.33,8.17,8.25,8.17,8.08,10.0,8.5,8.42,10.0,10.0,87.92
United States of America,8.42,8.33,8.08,8.08,8.0,10.0,8.33,8.67,10.0,10.0,87.92
United States of America,8.25,8.08,8.33,8.0,8.25,10.0,8.58,8.42,10.0,10.0,87.92
Ethiopia,8.25,8.5,8.25,8.75,8.58,10.0,8.5,8.33,9.33,9.33,87.83
United States of America,8.17,8.58,8.0,8.0,8.17,10.0,8.17,8.5,10.0,10.0,87.58
Indonesia,7.75,7.83,8.33,8.42,8.5,10.0,8.33,8.25,10.0,10.0,87.42
Ethiopia,8.33,8.25,8.17,8.33,8.42,10.0,8.83,8.33,9.33,9.33,87.33
China,8.17,8.08,8.42,8.0,7.92,10.0,8.42,8.25,10.0,10.0,87.25
Ethiopia,8.17,8.0,8.17,8.33,8.08,10.0,8.33,8.17,10.0,10.0,87.25
United States of America,8.5,8.08,8.0,8.0,8.25,10.0,8.17,8.25,10.0,10.0,87.25
Costa Rica,8.17,8.0,8.08,8.33,8.0,10.0,8.33,8.25,10.0,10.0,87.17
Mexico,8.0,8.17,8.17,8.17,7.83,10.0,8.58,8.25,10.0,10.0,87.17
United States of America,8.17,8.17,8.25,8.17,7.83,10.0,8.17,8.33,10.0,10.0,87.08
Ethiopia,8.17,7.92,8.42,8.0,8.33,10.0,8.08,8.17,10.0,10.0,87.08
Brazil,8.0,8.0,8.5,8.0,8.0,10.0,7.92,8.5,10.0,10.0,86.92
Ethiopia,8.17,8.08,7.83,8.17,8.17,10.0,8.25,8.25,10.0,10.0,86.92
Uganda,8.17,8.17,8.42,7.92,7.83,10.0,8.17,8.17,10.0,10.0,86.83
Honduras,8.0,8.08,8.17,8.0,8.08,10.0,8.25,8.08,10.0,10.0,86.67
Taiwan,8.25,8.0,8.0,8.17,8.0,10.0,8.17,8.0,10.0,10.0,86.58
Nicaragua,8.33,8.0,7.92,8.08,8.0,10.0,8.0,8.25,10.0,10.0,86.58
United Republic of Tanzania,8.0,8.17,8.42,8.0,7.58,10.0,8.17,8.17,10.0,10.0,86.5
Brazil,7.75,8.0,8.5,8.0,8.0,10.0,8.0,8.17,10.0,10.0,86.42
Costa Rica,8.08,8.0,8.17,8.0,7.83,10.0,8.42,7.83,10.0,10.0,86.33
Ethiopia,8.0,7.92,8.0,8.08,8.08,10.0,8.08,8.08,10.0,10.0,86.25
Kenya,8.25,8.0,8.08,7.92,7.92,10.0,8.08,8.0,10.0,10.0,86.25
United States of America,7.92,8.0,8.08,7.83,7.92,10.0,8.33,8.17,10.0,10.0,86.25
United States of America,7.75,8.08,8.25,7.83,7.67,10.0,8.25,8.42,10.0,10.0,86.25
Ethiopia,8.08,8.08,7.92,8.17,8.08,10.0,8.17,7.75,10.0,10.0,86.25
United States of America,8.0,8.0,7.67,8.08,8.17,10.0,8.08,8.17,10.0,10.0,86.17
Thailand,8.25,7.83,7.83,7.92,7.58,10.0,8.42,8.33,10.0,10.0,86.17
Brazil,7.75,7.92,8.17,8.0,8.33,10.0,8.08,7.92,10.0,10.0,86.17
Brazil,7.75,8.0,8.42,8.0,7.92,10.0,8.17,7.92,10.0,10.0,86.17
Taiwan,8.08,7.75,8.08,7.83,7.75,10.0,8.42,8.17,10.0,10.0,86.08
Kenya,8.0,8.0,8.08,8.08,7.83,10.0,8.0,8.08,10.0,10.0,86.08
Brazil,8.0,8.0,8.33,8.0,7.75,10.0,8.0,8.0,10.0,10.0,86.08
Uganda,7.92,7.83,8.08,7.92,8.08,10.0,8.08,8.08,10.0,10.0,86.0
Colombia,8.08,7.83,7.75,8.17,8.08,10.0,8.17,7.92,10.0,10.0,86.0
Kenya,8.5,7.83,7.92,7.92,7.5,10.0,8.17,8.17,10.0,10.0,86.0
Uganda,8.08,7.83,8.25,7.92,8.0,10.0,7.92,8.0,10.0,10.0,86.0
Ethiopia,8.25,8.0,7.75,8.0,8.0,10.0,7.92,8.08,10.0,10.0,86.0
United States of America,8.0,7.75,8.33,7.83,7.75,10.0,8.17,8.17,10.0,10.0,86.0
Guatemala,8.08,7.92,7.92,7.83,8.08,10.0,8.0,8.08,10.0,10.0,85.92
Uganda,8.08,7.92,8.17,7.75,7.83,10.0,8.0,8.17,10.0,10.0,85.92
Colombia,8.17,8.0,8.0,8.0,7.83,10.0,7.92,8.0,10.0,10.0,85.92
Panama,8.08,7.92,8.0,8.0,7.83,10.0,8.0,8.0,10.0,10.0,85.83
Ethiopia,8.08,7.92,7.83,7.92,8.0,10.0,8.0,8.08,10.0,10.0,85.83
Guatemala,8.17,8.0,7.83,8.0,7.83,10.0,8.0,8.0,10.0,10.0,85.83
Guatemala,8.33,7.83,8.0,7.83,7.83,10.0,8.0,8.0,10.0,10.0,85.83
Ethiopia,8.17,7.83,7.83,8.0,7.92,10.0,8.0,8.0,10.0,10.0,85.75
Peru,8.08,8.0,8.0,7.75,7.92,10.0,8.0,8.0,10.0,10.0,85.75
Papua New Guinea,8.33,7.83,8.33,8.25,8.0,9.33,7.92,8.42,10.0,9.33,85.75
El Salvador,7.92,8.0,7.92,7.83,7.75,10.0,8.0,8.17,10.0,10.0,85.58
El Salvador,7.75,8.0,7.83,8.17,7.92,10.0,7.92,8.0,10.0,10.0,85.58
United States of America,7.75,7.92,7.83,8.0,8.08,10.0,8.0,8.0,10.0,10.0,85.58
Panama,7.83,7.83,8.0,8.58,7.67,10.0,7.83,7.75,10.0,10.0,85.5
Kenya,8.08,7.83,7.92,7.92,7.83,10.0,8.0,7.92,10.0,10.0,85.5
Ethiopia,7.92,7.83,7.83,8.08,7.83,10.0,8.0,8.0,10.0,10.0,85.5
Uganda,7.92,7.67,8.33,7.92,7.67,10.0,8.08,7.92,10.0,10.0,85.5
Guatemala,8.33,7.67,8.0,8.0,7.83,10.0,7.83,7.83,10.0,10.0,85.5
Ethiopia,8.17,7.83,7.75,7.83,7.92,10.0,8.08,7.83,10.0,10.0,85.42
Uganda,7.67,7.83,8.08,7.83,8.0,10.0,8.0,8.0,10.0,10.0,85.42
United States of America,7.92,7.75,7.92,7.92,7.75,10.0,8.25,7.92,10.0,10.0,85.42
Brazil,7.67,8.0,8.0,8.0,7.75,10.0,8.0,8.0,10.0,10.0,85.42
El Salvador,8.08,7.83,8.08,7.83,7.83,10.0,7.92,7.83,10.0,10.0,85.42
