Species,Owner,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points
Arabica,metad plc,Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58
Arabica,metad plc,Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92
Arabica,grounds for health admin,Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75
Arabica,yidnekachew dabessa,Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0
Arabica,metad plc,Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83
Arabica,ji-ae ahn,Brazil,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83
Arabica,hugo valdivia,Peru,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75
Arabica,ethiopia commodity exchange,Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67
Arabica,ethiopia commodity exchange,Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42
Arabica,diamond enterprise plc,Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25
Arabica,mohammed lalo,Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08
Arabica,cqi q coffee sample representative,United States of America,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92
Arabica,cqi q coffee sample representative,United States of America,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92
Arabica,grounds for health admin,United States of America,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92
Arabica,ethiopia commodity exchange,Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83
Arabica,cqi q coffee sample representative,United States of America,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58
Arabica,grounds for health admin,Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42
Arabica,ethiopia commodity exchange,Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33
Arabica,yunnan coffee exchange,China,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25
Arabica,essencecoffee,Ethiopia,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25
Arabica,cqi q coffee sample representative,United States of America,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25
Arabica,the coffee source inc.,Costa Rica,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17
Arabica,roberto licona franco,Mexico,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17
Arabica,cqi q coffee sample representative,United States of America,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08
Arabica,ji-ae ahn,Ethiopia,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08
Arabica,nucoffee,Brazil,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92
Arabica,ethiopia commodity exchange,Ethiopia,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92
Arabica,kabum trading company,Uganda,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83
Arabica,bismarck castro,Honduras,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67
Arabica,"lin, che-hao krude 林哲豪",Taiwan,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58
Arabica,nora zeas,Nicaragua,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58
Arabica,specialty coffee-korea,United Republic of Tanzania,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5
Arabica,nucoffee,Brazil,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42
Arabica,francisco a mena,Costa Rica,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33
Arabica,hider abamecha,Ethiopia,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25
Arabica,daniel magu,Kenya,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25
Arabica,kona pacific farmers cooperative,United States of America,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25
Arabica,kona pacific farmers cooperative,United States of America,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25
Arabica,ethiopia commodity exchange,Ethiopia,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25
Arabica,cqi q coffee sample representative,United States of America,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17
Arabica,itdp international,Thailand,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17
Arabica,jacques pereira carneiro,Brazil,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17
Arabica,jacques pereira carneiro,Brazil,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17
Arabica,"lin, che-hao krude 林哲豪",Taiwan,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08
Arabica,jungle estate,Kenya,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08
Arabica,nucoffee,Brazil,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08
Arabica,great lakes coffee uganda,Uganda,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0
Arabica,lusso lab,Colombia,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0
Arabica,lusso lab,Kenya,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0
Arabica,afca,Uganda,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0
Arabica,ethiopia commodity exchange,Ethiopia,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0
Arabica,grounds for health admin,United States of America,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0
Arabica,juan luis alvarado romero,Guatemala,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92
Arabica,kawacom uganda ltd,Uganda,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92
Arabica,exportadora de cafe condor s.a,Colombia,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92
Arabica,gonzalo hernandez,Panama,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83
Arabica,juan luis alvarado romero,Guatemala,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83
Arabica,juan luis alvarado romero,Guatemala,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83
Arabica,seid damtew coffee planataion,Ethiopia,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75
Arabica,dane loraas,Peru,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75
Arabica,atlantic specialty coffee,El Salvador,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58
